sample,sex,type,nitrogen,dummy1,dummy2,dummy3,Harvest,Days,S,A,E,H,D`,Insect%,Nonins%,DipChi,EphLep,Ostracod,PleNem,TriHyd,TriLep,DipChi%,EphLep%,Ostracod%,PleNem%,TriLep%,CG,FI,PH,PR,SC,SH,CG%,FI%,PH%,PR%,SC%,SH%,EPT%,ASEPT
1095,Female,Non-Herbivore,0,4,4,4,3,35,11,198,0.616,1.476,0.6592,0.919191919,0.080808081,46,0,9,7,104,0,0.232323232,0,0.045454545,0.035353535,0,58,0,120,3,3,7,0.292929293,0,0.606060606,0.015151515,0.015151515,0.035353535,0.676767677,0.966072084
1136,Male,Non-Herbivore,8,5,2,3,3,35,15,138,0.693,1.877,0.7296,0.782608696,0.217391304,18,2,9,4,67,0,0.130434783,0.014492754,0.065217391,0.028985507,0,32,2,71,15,6,12,0.231884058,0.014492754,0.514492754,0.108695652,0.043478261,0.086956522,0.615942029,0.902405207
1055,Male,Herbivore,16,3,3,1,3,35,9,429,0.526,1.156,0.5405,0.923076923,0.076923077,81,0,29,9,277,0,0.188811189,0,0.067599068,0.020979021,0,113,0,290,3,1,22,0.263403263,0,0.675990676,0.006993007,0.002331002,0.051282051,0.727272727,1.021329082
1099,Female,Herbivore,0,1,4,2,3,35,8,32,0.782,1.626,0.7344,0.8125,0.1875,7,0,4,2,14,0,0.21875,0,0.125,0.0625,0,12,0,17,0,1,2,0.375,0,0.53125,0,0.03125,0.0625,0.59375,0.879706356
1057,Male,Herbivore,16,3,3,1,3,35,10,278,0.671,1.545,0.7388,0.935251799,0.064748201,86,0,11,4,85,0,0.309352518,0,0.039568345,0.014388489,0,103,0,158,6,0,11,0.370503597,0,0.568345324,0.021582734,0,0.039568345,0.607913669,0.894167693
1061,Male,Herbivore,16,3,3,1,3,35,9,299,0.557,1.225,0.5641,0.949832776,0.050167224,47,2,13,5,189,0,0.157190635,0.006688963,0.043478261,0.016722408,0,62,0,210,0,2,25,0.20735786,0,0.702341137,0,0.006688963,0.08361204,0.79264214,1.098013473
1103,Female,Herbivore,0,1,4,2,3,35,10,84,0.683,1.572,0.7222,0.964285714,0.035714286,33,1,2,0,27,0,0.392857143,0.011904762,0.023809524,0,0,38,0,37,3,0,6,0.452380952,0,0.44047619,0.035714286,0,0.071428571,0.535714286,0.821142888
1106,Female,Herbivore,0,1,4,2,3,35,9,54,0.834,1.831,0.7791,0.759259259,0.240740741,8,1,5,2,22,0,0.148148148,0.018518519,0.092592593,0.037037037,0,18,0,25,0,4,7,0.333333333,0,0.462962963,0,0.074074074,0.12962963,0.611111111,0.89744471
1119,Male,Non-Herbivore,16,6,3,3,3,35,9,144,0.655,1.439,0.7048,0.923611111,0.076388889,38,1,5,0,61,0,0.263888889,0.006944444,0.034722222,0,0,49,0,91,1,1,2,0.340277778,0,0.631944444,0.006944444,0.006944444,0.013888889,0.652777778,0.940659081
1127,Male,Non-Herbivore,16,6,3,3,3,35,8,41,0.741,1.54,0.7186,0.829268293,0.170731707,18,0,6,3,10,0,0.43902439,0,0.146341463,0.073170732,0,24,1,11,2,0,3,0.585365854,0.024390244,0.268292683,0.048780488,0,0.073170732,0.341463415,0.624077253
1140,Male,Non-Herbivore,8,5,2,3,3,35,2,5,0.722,0.5,0.32,1,0,0,4,0,0,0,0,0,0.8,0,0,0,4,0,0,0,0,1,0.8,0,0,0,0,0.2,1,1.570796327
1147,Female,Non-Herbivore,8,5,5,4,3,35,11,164,0.627,1.504,0.713,0.932926829,0.067073171,68,1,6,1,33,0,0.414634146,0.006097561,0.036585366,0.006097561,0,79,0,77,4,0,4,0.481707317,0,0.469512195,0.024390244,0,0.024390244,0.5,0.785398163
1149,Female,Non-Herbivore,8,5,5,4,3,35,12,171,0.642,1.595,0.7052,0.842105263,0.157894737,24,3,25,2,83,0,0.140350877,0.01754386,0.14619883,0.011695906,0,53,0,105,3,1,9,0.30994152,0,0.614035088,0.01754386,0.005847953,0.052631579,0.684210526,0.97405318
1161,Female,Non-Herbivore,16,6,6,4,3,35,4,17,0.76,1.053,0.6021,0.941176471,0.058823529,8,0,0,0,7,0,0.470588235,0,0,0,0,8,0,7,2,0,0,0.470588235,0,0.411764706,0.117647059,0,0,0.411764706,0.696698361
1185,Female,Non-Herbivore,0,4,4,4,3,35,12,97,0.701,1.742,0.7463,0.896907216,0.103092784,12,0,6,3,42,0,0.12371134,0,0.06185567,0.030927835,0,19,0,61,2,3,12,0.195876289,0,0.628865979,0.020618557,0.030927835,0.12371134,0.762886598,1.062210079
1188,Female,Non-Herbivore,0,4,4,4,3,35,9,80,0.717,1.575,0.7403,0.925,0.075,26,0,2,0,15,0,0.325,0,0.025,0,0,31,0,42,1,1,4,0.3875,0,0.525,0.0125,0.0125,0.05,0.5875,0.873351047
1212,Male,Non-Herbivore,0,4,1,3,3,35,6,12,0.936,1.676,0.7917,0.666666667,0.333333333,2,0,2,0,4,0,0.166666667,0,0.166666667,0,0,6,0,4,1,0,1,0.5,0,0.333333333,0.083333333,0,0.083333333,0.416666667,0.701674124
1213,Male,Non-Herbivore,0,4,1,3,3,35,7,198,0.706,1.373,0.7034,0.797979798,0.202020202,26,2,40,0,88,0,0.131313131,0.01010101,0.202020202,0,0,68,0,128,2,0,0,0.343434343,0,0.646464646,0.01010101,0,0,0.656565657,0.944642351
1235,Female,Non-Herbivore,16,6,6,4,3,35,6,10,0.946,1.696,0.8,1,0,0,2,0,2,3,0,0,0.2,0,0.2,0,2,0,4,0,0,4,0.2,0,0.4,0,0,0.4,1,1.570796327
1240,Female,Non-Herbivore,16,6,6,4,3,35,10,91,0.749,1.725,0.7784,0.846153846,0.153846154,27,0,9,0,18,0,0.296703297,0,0.098901099,0,0,39,0,44,5,0,3,0.428571429,0,0.483516484,0.054945055,0,0.032967033,0.516483516,0.801884667
1395,Male,Non-Herbivore,8,5,2,3,3,35,9,113,0.822,1.807,0.8178,0.85840708,0.14159292,23,5,16,1,23,0,0.203539823,0.044247788,0.14159292,0.008849558,0,44,0,50,1,0,18,0.389380531,0,0.442477876,0.008849558,0,0.159292035,0.654867257,0.942855064
2008,Female,Non-Herbivore,16,6,6,4,3,35,3,12,0.75,0.824,0.4861,0.916666667,0.083333333,8,0,1,0,3,0,0.666666667,0,0.083333333,0,0,9,0,3,0,0,0,0.75,0,0.25,0,0,0,0.25,0.523598776
1092,Female,Non-Herbivore,0,4,4,4,3,35,3,25,0.746,0.82,0.5248,0.96,0.04,14,0,1,0,0,0,0.56,0,0.04,0,0,15,0,10,0,0,0,0.6,0,0.4,0,0,0,0.4,0.684719203
1129,Male,Non-Herbivore,8,5,2,3,3,35,4,4,1,1.386,0.75,1,0,1,1,0,1,1,0,0.25,0.25,0,0.25,0,2,0,1,0,0,1,0.5,0,0.25,0,0,0.25,0.75,1.047197551
